Project Name,Count packages,Sum LOC,Average LOC,Pareto category
4pr0n_ripme,9,12103,94.5546875,30
abel533_ECharts,14,18196,127.2447552,20
abel533_Mapper,61,23498,42.646098,30
abrensch_brouter,11,19460,104.6236559,40
acciente_oacc-core,13,46785,182.0428016,20
Accla_d4m_api_java,18,24183,101.6092437,20
aceleradora6-tw_RegistroLivre,8,1531,41.37837838,40
addthis_hydra,75,89103,74.43859649,20
addthis_meshy,6,5747,68.41666667,30
AdoptOpenJDK_mjprof,19,3057,33.59340659,30
akquinet_vaadinator,36,9481,56.77245509,30
Alexey1Gavrilov_expectit,9,4796,51.56989247,30
allanbank_mongodb-async-driver,36,121177,193.5734824,20
altamiracorp_honeycomb,15,8461,69.92561983,30
andrewgaul_modernizer-maven-plugin,2,1708,47.44444444,30
andrewgaul_s3proxy,2,6195,119.1346154,30
andytill_erlyberly,6,6386,92.55072464,30
antoniomaria_gazpachoquest,87,19090,33.55008787,30
apache_airavata,198,1475923,177.8863445,30
apache_curator,56,45667,67.2562592,30
apache_drill,323,1285414,78.8936353,20
apache_incubator-samoa,50,34244,77.12612613,30
apache_incubator-tamaya,11,33884,66.1796875,40
apache_incubator-twill,24,24185,55.9837963,40
apache_jackrabbit-filevault,42,58032,91.10204082,20
apache_knox,194,91116,59.78740157,10
apache_metamodel,48,60557,66.69273128,20
apache_olingo-odata2,109,125131,94.01277235,30
apache_olingo-odata4,146,146163,60.29826733,30
apache_servicemix,30,2783,26.25471698,20
apache_storm,333,362225,90.85151743,20
apache_struts,183,185417,69.86322532,20
apache_struts-examples,49,6312,32.53608247,30
apache_tajo,162,876694,245.6413561,10
apache_uima-uimafit,34,22413,53.36428571,10
Appendium_flatpack,28,7138,72.83673469,20
Appendium_objectlabkit,24,16220,55.54794521,20
appium_java-client,40,14253,44.12693498,10
arangodb_arangodb-java-driver,32,31820,90.65527066,20
ArcBees_gwtquery-draggable-plugin,14,10165,66.00649351,30
ArcBees_gwtquery-tooltip-plugin,13,5932,42.07092199,20
Archarithms_bigio,14,8409,60.93478261,30
arnohaase_a-base,13,17828,81.40639269,20
arquillian_arquillian-cube,125,35835,44.1317734,10
ArtificerRepo_artificer,144,81576,63.98117647,30
astefanutti_camel-cdi,13,7494,31.09543568,30
ATLauncher_ATLauncher,43,24826,92.63432836,10
att_XACML,47,88638,132.2955224,30
audit4j_audit4j-core,27,15684,70.64864865,10
augustt198_lumen,30,6267,36.86470588,20
avandeursen_jpacman-framework-v5,5,2301,76.7,30
awslabs_aws-ant-tasks,5,4930,71.44927536,40
awslabs_aws-dynamodb-encryption-java,17,21191,95.45495495,20
awslabs_aws-sdk-java-resources,15,16559,57.69686411,40
AzureAD_azure-activedirectory-library-for-java,2,3811,56.88059701,30
Azure_azure-documentdb-java,3,2976,63.31914894,20
Baqend_Orestes-Bloomfilter,7,4476,99.46666667,40
basis-technology-corp_tcl-regex-java,1,6020,128.0851064,60
bedrin_jdbc-sniffer,10,12448,77.31677019,20
bedrin_jsonde,53,9468,46.87128713,20
benas_easy-batch,56,14774,33.05145414,30
benjiman_expressions,9,4386,20.88571429,40
biboudis_streamalg,13,10492,88.91525424,30
bitcoin-solutions_multibit-website,14,1956,44.45454545,20
bitcoinj_bitcoinj,25,112880,196.6550523,20
BjoernKW_ZenQuery,8,1091,37.62068966,20
blockchain_api-v1-client-java,10,2762,76.72222222,20
bonigarcia_dualsub,4,3729,76.10204082,40
brettwooldridge_HikariJSON,3,1031,44.82608696,50
bruno-medeiros_DDT,166,84648,47.63534046,20
buschmais_extended-objects,87,10698,31.46470588,20
bytedeco_javacpp,3,24990,213.5897436,50
bywan_trello-java-wrapper,9,4550,71.09375,20
c4fcm_CLIFF,15,4132,76.51851852,20
caelum_mamute,63,15174,34.02242152,10
caelum_vraptor-panettone,7,2352,34.58823529,30
CalebFenton_simplify,14,21259,71.57912458,20
calrissian_flowmix,19,3877,40.81052632,30
camelinaction_camelinaction,5,9190,23.74677003,30
caoxinyu_RedisClient,27,11562,64.59217877,10
CaptainBern_Reflection,39,11023,48.99111111,10
caskdata_cdap,535,365826,64.1574886,20
caskdata_coopr,63,43119,68.88019169,30
caskdata_tephra,26,52361,106.2089249,30
castlabs_dashencrypt,9,5633,92.3442623,30
cecom_pomutils,5,1351,46.5862069,30
ceph_cephfs-hadoop,2,1047,58.16666667,30
ceskaexpedice_kramerius,284,84084,63.79666161,20
cglib_cglib,12,17839,51.26149425,40
chanedi_QuickProject,27,6655,65.24509804,20
chanjarster_tomcat-mongo-access-log,3,2598,60.41860465,40
chanjarster_weixin-java-tools,30,14080,51.57509158,30
chaupal_jxse,118,150957,129.3547558,20
chenlb_mmseg4j-core,3,2130,59.16666667,20
cinovo_cloudconductor-server,24,10267,57.67977528,30
citerus_bookstore-cqrs-example,35,1921,17,30
clinejj_foursquare-api-java,6,5408,56.33333333,30
cloudera_cm_ext,29,11800,40.83044983,30
Cloudslab_cloudsim,31,39000,118.5410334,30
CloudSlang_cloud-slang,51,23963,67.6920904,30
Co0sh_BetonQuest,42,38172,80.02515723,20
codecentric_spring-boot-starter-batch-web,21,2789,29.67021277,30
codefollower_Tomcat-Research,170,595860,108.0827136,20
codeine-cd_codeine,53,17107,41.72439024,10
codelibs_elasticsearch-cluster-runner,3,1183,131.4444444,20
codelibs_elasticsearch-taste,19,16368,62.95384615,30
cognitect_transit-java,3,4362,43.62,20
commons-rdf_commons-rdf,2,1646,63.30769231,30
consulo_consulo-dotnet,73,17241,34.62048193,20
contentful_contentful-management.java,6,16433,98.9939759,30
copper-engine_copper-engine,31,23607,60.06870229,30
CorfuDB_CorfuDB,80,62360,88.70554765,10
cternes_openkeepass,14,6245,45.58394161,40
cybergarage_cybergarage-upnp,36,16699,70.75847458,30
DABSquared_gitlab-plugin,31,16180,66.58436214,20
damiencarol_jsr203-hadoop,1,2929,94.48387097,60
dangdangdotcom_config-toolkit,23,2003,32.30645161,20
danielflower_multi-module-maven-release-plugin,3,3887,54.74647887,50
danmbox_briss2,5,3676,83.54545455,50
darcy-framework_darcy-ui,7,6499,27.53813559,30
darcy-framework_darcy-webdriver,5,4281,42.38613861,30
dart-maven-plugin_dart-maven-plugin,2,1424,142.4,30
dashbuilder_dashbuilder,119,46959,45.76900585,30
databricks_learning-spark,3,1878,27.2173913,40
DataDog_jmxfetch,6,5406,100.1111111,30
datanucleus_datanucleus-core,43,139417,140.3997986,20
davidmoten_rtree,12,19826,104.3473684,20
davidmoten_rxjava-extras,10,13133,62.24170616,30
davidmoten_rxjava-jdbc,5,9228,83.89090909,30
dbfit_dbfit,11,10245,32.83653846,20
ddavison_conductor,2,1090,109,30
Devexperts_aprof,8,7861,73.46728972,30
devnied_EMV-NFC-Paycard-Enrollment,15,5877,79.41891892,30
dgageot_simplelenium,10,2340,36,20
dibbhatt_kafka-spark-consumer,2,1755,53.18181818,30
DICE-UNC_idrop,21,36369,127.6105263,40
DICE-UNC_jargon,52,104072,138.2098274,20
digidotcom_XBeeJavaLibrary,60,67505,161.882494,10
digitalfondue_lavagna,19,18739,56.78484848,30
dobrynya_nomin,10,5032,27.95555556,30
documents4j_documents4j,13,9014,36.34677419,40
dpaukov_combinatoricslib,11,5205,94.63636364,20
drankye_haox,70,32552,52,30
dropwizard_dropwizard-java8,22,2665,22.02479339,20
dropwizard_dropwizard-protobuf,3,4001,200.05,20
dropwizard_metrics,30,22725,60.6,40
druid-io_druid,314,354277,63.46775349,20
dschulten_hydra-java,12,9556,60.48101266,40
dswarm_dswarm,66,25137,74.15044248,40
ebay_oink,9,1603,45.8,40
eclipse-jetty_eclipse-jetty-plugin,26,14338,117.5245902,20
eclipsesource_J2V8,4,20986,189.0630631,40
eclipse_leshan,56,25484,72.39772727,40
edgedalmacio_phisix,8,1231,39.70967742,20
edwardcapriolo_nibiru,26,6650,39.82035928,30
effektif_effektif,44,23331,50.60954447,40
ehcache_ehcache-jcache,2,2316,110.2857143,30
ehcache_sizeof,5,2614,36.81690141,30
Eldelshell_jongo,16,6412,90.30985915,30
ElectronicChartCentre_java-vector-tile,2,15119,559.962963,30
elibom_jogger,14,4999,59.51190476,40
embulk_embulk,23,27138,55.04665314,20
englishtown_vertx-cassandra,21,3647,45.02469136,20
englishtown_vertx-jersey,29,5421,32.85454545,30
englishtown_vertx-when,9,2162,65.51515152,20
enonic_xp,427,184505,38.52683232,20
ESAPI_esapi-java-legacy,26,41618,120.283237,30
eseifert_gral,27,29570,83.29577465,40
eseifert_vectorgraphics2d,9,6956,58.94915254,30
esigate_esigate,33,17547,55.00626959,20
EsmerilProgramming_cloverx,23,4082,32.14173228,20
ethereum_ethereumj,57,70537,82.21095571,10
etsy_statsd-jvm-profiler,7,1942,42.2173913,30
EugeneKay_subsonic,28,43473,82.64828897,20
Evil-Co_NBT-Lib,4,1307,59.40909091,20
evrythng_evrythng-java-sdk,30,15016,50.72972973,30
ExactTarget_fuel-java,2,41507,100.5012107,40
eXparity_hamcrest-date,4,9649,116.253012,40
expercise_expercise,46,4836,25.58730159,20
extjwnl_extjwnl,16,17803,98.35911602,30
exxeleron_qJava,2,6051,99.19672131,50
fabric8io_quickstarts,39,9622,22.80094787,20
FasterXML_jackson-dataformat-cbor,1,5230,174.3333333,60
feroult_yawp,71,19360,47.56756757,10
fesh0r_fernflower,33,50044,121.1719128,20
fhoeben_hsac-fitnesse-fixtures,18,22044,78.44839858,20
fhussonnois_storm-trident-elasticsearch,9,1394,31.68181818,20
fiji_Stitching,8,9822,125.9230769,40
fiji_TrackMate,40,44112,109.1881188,20
fiji_Trainable_Segmentation,7,24702,329.36,40
filoghost_HolographicDisplays,41,13622,63.35813953,10
finn-no_cassandra-hadoop,4,4777,132.6944444,40
Firebase_geofire-java,3,1763,70.52,40
fizzed_java-stork,8,4224,71.59322034,10
fizzed_stork,8,4224,71.59322034,10
flaxsearch_luwak,13,7589,43.11931818,30
FlexTradeUKLtd_jfixture,32,7149,21.59818731,20
flipkart-incubator_foxtrot,66,16223,52.16398714,10
flipkart-incubator_Lois,7,1044,37.28571429,10
Flow_Caustic,11,9716,110.4090909,30
Flow_engine,61,14056,61.64912281,10
Flow_nbt,8,2219,55.475,20
Flow_network,12,1549,43.02777778,20
Flow_React,13,13890,165.3571429,20
fluo-io_fluo,45,30355,68.83219955,30
forge_roaster,9,11627,67.20809249,40
foxinmy_weixin4j,103,55839,85.90615385,20
freemarker_fmpp,9,20023,113.7670455,40
freenet_plugin-Freetalk,10,18804,109.9649123,20
galenframework_galen,51,20647,48.69575472,20
ganshane_shakey,8,16045,86.72972973,40
geckoboard-java-api_highchart-java-api,12,3988,78.19607843,20
geftimov_MapReduce,25,3634,41.77011494,10
getsentry_raven-java,34,14514,63.37991266,20
gid15_jpcsp,93,318380,161.0419828,10
glazedlists_glazedlists,46,103040,87.17428088,20
GlenKPeterson_fp4java7,9,21952,79.53623188,30
glowroot_glowroot,90,672059,160.2811829,30
GlowstoneMC_Glowstone,99,154102,57.67290419,20
GluuFederation_oxAuth,128,93496,122.0574413,10
GluuFederation_oxTrust,106,55596,88.9536,10
gmantele_taplib,44,74798,188.4080605,20
gonmarques_cdi-properties,13,1423,27.36538462,10
GoogleCloudPlatform_bigdata-interop,11,30544,96.96507937,40
GoogleCloudPlatform_gcloud-java,28,17209,60.38245614,30
googlegenomics_dataflow-java,12,8263,44.66486486,50
googlemaps_google-maps-services-java,5,20658,59.02285714,30
google_acai,1,1709,23.73611111,60
google_closure-compiler,37,330449,156.0930562,20
google_closure-stylesheets,5,47590,85.74774775,30
google_closure-templates,69,176579,89.36184211,20
google_error-prone,42,107144,53.01533894,20
google_google-api-java-client,24,23024,119.2953368,30
google_google-auth-library-java,4,9029,88.51960784,40
google_google-http-java-client,25,28051,73.24020888,30
google_google-oauth-java-client,11,7112,68.38461538,30
google_guice,32,111375,41.09778598,30
google_identity-toolkit-java-client,1,1476,77.68421053,60
google_jimfs,1,17757,119.9797297,60
google_truth,6,61005,130.0746269,30
gosu-lang_gosu-lang,177,230324,79.06762788,20
GrammarViz2_grammarviz2_src,12,6506,112.1724138,30
graphaware_neo4j-algorithms,8,2360,38.68852459,40
graphaware_neo4j-noderank,2,1346,49.85185185,50
Graphify_graphify,11,2582,92.21428571,10
Graphity_graphity-client,18,3011,75.275,10
gravel-st_gravel,9,43119,59.72160665,30
gridkit_nanocloud,33,59445,70.34911243,20
groupon_DotCi,32,8935,39.36123348,10
groupon_odo,15,13833,150.3586957,30
grpc_grpc-java,50,128958,78.01451906,20
GumTreeDiff_gumtree,36,64016,142.5746102,10
gwtbootstrap3_gwtbootstrap3,19,28606,42.82335329,40
gwtbootstrap3_gwtbootstrap3-demo,50,158059,70.7515667,30
gwtbootstrap3_gwtbootstrap3-extras,54,29519,34.4044289,40
h2oai_h2o,45,123870,89.56616052,20
h3xstream_http-script-generator,6,3085,38.08641975,30
HadoopGenomics_Hadoop-BAM,4,9671,70.07971014,40
hal_circuit,17,23578,64.59726027,30
hankcs_HanLP,107,57216,87.48623853,20
hansenji_pocketknife,6,3688,51.94366197,30
harishreedharan_usingflumecode,4,5226,106.6530612,40
HdrHistogram_HdrHistogram,3,10448,135.6883117,20
headissue_cache2k,38,36885,74.21529175,30
HearthStats_HearthStats.net-Uploader,16,5567,52.02803738,30
hekonsek_fuse-pocs,24,1608,17.10638298,20
heroku_heroku-maven-plugin,17,8753,81.0462963,30
hevs-isi_gdx2d,19,4326,77.25,20
highsource_jaxb2-basics,52,12017,33.66106443,30
highsource_jsonix-schema-compiler,24,6268,48.96875,30
hmsonline_storm-cassandra-cql,6,1162,29.05,30
holgerbrandl_r4intellij,44,23437,46.40990099,20
holgerbrandl_themoviedbapi,9,5008,38.82170543,30
HolmesNL_kafka-spout,3,1220,76.25,50
holodeck-b2b_Holodeck-B2B,68,30644,55.81785064,40
HotswapProjects_HotswapAgent,104,81076,97.56438026,20
HPI-Information-Systems_Metanome,35,24040,61.79948586,40
hypereddie_HippyJava,9,1379,55.16,20
hyperic_hq,373,347505,87.93142713,20
ic3fox_jawr,68,33249,97.50439883,10
ic3fox_jawr-main-repo,104,40723,82.7703252,10
icode_ameba,53,24770,76.6873065,20
igniterealtime_jxmpp,14,6034,73.58536585,20
igniterealtime_Openfire,82,261539,250.276555,10
igniterealtime_Spark,131,95317,114.9782871,20
igniterealtime_tinder,7,8492,114.7567568,30
iipc_webarchive-commons,43,34703,72.44885177,20
IKCAP_wings,69,25601,110.3491379,20
iluwatar_java-design-patterns,206,33955,28.34307179,20
imagej_imagej-ops,202,70101,34.94566301,10
imglib_imglib2,56,51339,67.02219321,20
imixs_imixs-workflow,21,26506,125.0283019,30
immutables_immutables,119,433498,96.20461607,20
indexiatech_antiquity,5,4758,91.5,20
inductiveautomation_opc-ua-stack,24,30147,75.55639098,40
infiniteautomation_modbus4j,48,15149,49.34527687,20
internet-research-network_breeze,4,2122,64.3030303,20
irobertson_pojomatic,10,6614,34.81052632,30
j2ro_mod-http-event-bus-bridge,8,2146,74,20
jabrena_livingrobots,31,32679,104.4057508,30
jai-imageio_jai-imageio-jpeg2000,27,39711,202.6071429,40
jaibeermalik_elasticsearch-tutorial,16,2149,76.75,10
jamesagnew_hapi-fhir,228,459054,101.8309672,20
jansorg_BashSupport,82,28769,40.51971831,30
JasonRuckman_sidney,100,52241,54.75995807,20
jbachorik_btrace,34,40105,76.24524715,30
jbake-org_jbake,12,7779,60.30232558,20
jbox2d_jbox2d,19,55117,259.9858491,30
jcabi_jcabi-http,5,6119,68.75280899,30
jcabi_jcabi-immutable,1,1355,90.33333333,60
JCTools_JCTools,34,74489,86.81701632,40
JDatePicker_JDatePicker,5,3563,75.80851064,30
jelkosz_Kanbanik,41,30322,47.08385093,10
jimmoores_quandl4j,11,4581,64.52112676,30
Jimmy-Shi_bean-query,4,1473,37.76923077,40
jindrapetrik_jpexs-decompiler,163,212994,101.3292103,20
jitsi_jicofo,29,23384,103.4690265,20
jitsi_jigasi,13,12520,105.210084,20
jivesoftware_jive-selenium-pages-framework,9,4000,97.56097561,30
jlinn_quartz-redis-jobstore,6,5431,142.9210526,30
jlpoolen_libreveris,52,110932,89.75080906,20
jmeter-maven-plugin_jmeter-maven-plugin,5,3475,112.0967742,30
jmrozanec_cron-utils,22,10567,62.52662722,30
JodaOrg_joda-collect,1,3341,98.26470588,60
jodastephen_property-alliance,3,1898,73,50
joel-costigliola_assertj-swing,46,75311,33.20590829,20
jooby-project_jooby,54,41470,71.74740484,20
jordw_heftydb,17,5215,50.63106796,40
jphp-compiler_jphp,162,90072,73.22926829,20
jqm4gwt_jqm4gwt,35,100956,102.8065173,20
jtrfp_terminal-recall,30,75434,72.53269231,20
jubeio_jube,69,23590,84.85611511,20
junkdog_entity-system-benchmarks,19,20625,38.98865784,40
jurmous_etcd4j,12,4221,57.82191781,10
jvirtanen_nassau,11,3037,39.96052632,40
jvirtanen_parity,17,9446,64.2585034,40
jwtk_jjwt,14,10092,46.08219178,40
kaazing_gateway,269,277520,86.07940447,30
kairosdb_kairosdb,36,37704,60.91114701,20
kairosdb_kairosdb-client,9,4618,43.56603774,30
kantega_pdf-converter,13,9014,36.34677419,40
kennycason_kumo,19,3535,37.60638298,20
kite-sdk_kite,63,92763,89.62608696,30
KittehOrg_KittehIRCClientLib,35,21496,45.35021097,10
Kixeye_chassis,33,9608,58.23030303,20
Kixeye_kixmpp,34,8294,63.3129771,20
KleeGroup_vertigo,350,89390,53.27175209,30
knightliao_disconf,163,17302,50.29651163,10
knightliao_hermes-jsonrpc,25,2376,44.83018868,20
kontalk_tigase-server,73,90109,117.1768531,10
KronicDeth_intellij-elixir,155,55593,47.11271186,10
kuali_kc,839,402505,71.20201663,10
kuenishi_presto-riak,3,2272,56.8,50
Kurento_kurento-java,31,19691,62.31329114,20
kuujo_copycat,135,108087,64.60669456,30
kzwang_elasticsearch-image,4,1384,62.90909091,20
la-team_light-admin,71,9800,27.22222222,30
larsga_Duke,12,16021,60.91634981,30
lejon_T-SNE-Java,5,6759,114.559322,30
lesaint_damapping,21,8761,39.64253394,20
lessthanoptimal_ejml,63,78817,113.0803443,10
levigo_jbig2-imageio,11,9061,74.88429752,30
libgdx_ashley,11,5154,34.82432432,20
libgdx_box2dlights,2,1962,130.8,40
libgdx_gdx-ai,22,12814,62.2038835,50
liftsecurity_burpbuddy,1,1764,47.67567568,60
lightblue-platform_lightblue-core,31,46361,62.48113208,40
lightcouch_LightCouch,1,3595,102.7142857,60
linkedin_Cubert,21,41431,89.87201735,20
linkedin_gobblin,357,203716,55.99670148,10
liveoak-io_liveoak,170,49339,52.65635005,40
locationtech_udig-platform,426,341869,100.6385046,20
loldevs_riotapi,57,12849,33.37402597,20
looly_hutool,149,111612,117.2394958,20
lucaspouzac_contiperf,10,4676,34.38235294,30
LucidWorks_spark-solr,14,4322,78.58181818,30
lumifyio_lumify,164,61345,63.96767466,20
